sample_id,config,writer,has_span,cer,wer,exact,edit_class,ref_words,hyp_words,subs,dels,ins,agreement_ab,confidence,latency_s,error,candidate
e006_q1_r4__l1,qwen_line_cell,e006,True,0.9259,1.0,False,major,11,9,9,2,0,0.0385,,5.75,,H . στοιχεία ένας χώρος με την επικράτηση των δυνάμεων
e006_q1_r4__l1,crnn_overfit,e006,True,0.7778,1.0,False,major,11,7,7,4,0,0.0385,0.7508,,,ירם הרמ  דרם הה ים בהר   ים
e006_q1_r5__l1,qwen_line,e006,False,0.8298,1.0,False,major,10,6,6,4,0,0.1379,,4.06,,. אַלְגּוֹרִיתָם יְהִי אֲנִי סְקֶרֶת אֲנִי אֲנִי
e006_q1_r5__l1,qwen_line_cell,e006,False,0.8723,0.8,False,major,10,5,3,5,0,0.1379,,4.47,,congruence of x and y
e006_q1_r5__l1,crnn_overfit,e006,False,0.8511,1.0,False,major,10,5,5,5,0,0.1379,0.7441,,,ים מר רים ב ים
e006_q1_r6__l1,qwen_line,e006,False,0.8261,1.0,False,major,9,7,7,2,0,0.1364,,2.92,,· אינטגרציה א'ג'ל אינטגרציה אינטגרציה
e006_q1_r6__l1,qwen_line_cell,e006,False,0.8913,1.4444,False,major,9,14,8,0,5,0.1364,,5.41,,. AIGEi GN AI'226 -100 5k y /11:07 vI(C)C 20 08
e006_q1_r6__l1,crnn_overfit,e006,False,0.8696,1.0,False,major,9,4,4,5,0,0.1364,0.7125,,,הי הרם בס בכלהים
e006_q1_r7__l1,qwen_line,e006,False,0.9722,1.0,False,major,8,2,2,6,0,0.0556,,2.62,,11 ק
e006_q1_r7__l1,qwen_line_cell,e006,False,0.8333,0.875,False,major,8,6,5,2,0,0.0556,,7.03,,אַלְקִרְטְסְקָיְתִי קְרַיְוּר - Dc אֲנִי מְגַדֵּל הַמְּכֻרְבִּים
e006_q1_r7__l1,crnn_overfit,e006,False,0.75,1.0,False,major,8,7,7,1,0,0.0556,0.7371,,,ם ההדם הדם בים  הם ה  ים
e006_q1_r8__l1,qwen_line,e006,True,1.0,1.0,False,major,23,0,0,23,0,1.0,,4.45,JSONDecodeError: Unterminated string starting at: line 1 column 19 (char 18),
e006_q1_r8__l1,qwen_line_cell,e006,True,1.0,1.0,False,major,23,0,0,23,0,1.0,,6.42,JSONDecodeError: Unterminated string starting at: line 1 column 19 (char 18),
e006_q1_r8__l1,crnn_overfit,e006,True,0.7431,1.0,False,major,23,16,16,7,0,1.0,0.6225,,,הםל ים נכאו ב י ניכי ים מסוים קסרס ל ל ל ל ל את סים
e006_q2_r1__l1,qwen_line,e006,True,1.0,1.0,False,major,31,0,0,31,0,0.0,,3.59,JSONDecodeError: Unterminated string starting at: line 1 column 19 (char 18),
e006_q2_r1__l1,qwen_line_cell,e006,True,0.9556,0.9677,False,major,31,2,1,29,0,0.0,,4.8,,Canny ١٦٠٢٥٤٣٧
e006_q2_r1__l1,crnn_overfit,e006,True,0.7926,1.0,False,major,31,15,15,16,0,0.0,0.6466,,,םהנו ותלם הידת הרם י י ים רים רים י ר סית תנתי רארש תרים
e006_q2_r3__l1,qwen_line,e006,True,0.8041,1.0,False,major,17,12,12,5,0,0.2254,,5.86,,לְרַחֲמֵי מִקְרָא הַשְׁבִּילִים 12/07/2024 11:00 לְרַחֲמֵי מִקְרָא הַשְׁבִּילִים 12/07/2024 11:00
e006_q2_r3__l1,qwen_line_cell,e006,True,0.8454,1.0,False,major,17,5,5,12,0,0.2254,,5.88,,לְרַחֲמֵי הַכֹּל לְהָבִיא אֶת הַשְׁאָרִים
e006_q2_r3__l1,crnn_overfit,e006,True,0.7835,1.0,False,major,17,13,13,4,0,0.2254,0.6403,,,םה ת שפרם הי הרהבההרירושושהו הטוש שהל ו היט הטו ו ו תLow
e006_q2_r4__l1,qwen_line,e006,True,0.7907,0.9231,False,major,26,13,11,13,0,0.1905,,5.06,,"בְּשַׁלְמִיָּה הַרְבֵּה אֲנִי מְחַזֶּק בְּעֹדְכֶם Quantization
Uniform 0.5 - 4,5
4→1 2→3"
e006_q2_r4__l1,qwen_line_cell,e006,True,0.907,0.9615,False,major,26,1,0,25,0,0.1905,,4.26,,Quantization
e006_q2_r4__l1,crnn_overfit,e006,True,0.8527,1.0,False,major,26,8,8,18,0,0.1905,0.6533,,,רע הראייר מוכ רת שת רסאת בותר מים
e006_q2_r5__l2,qwen_line,e006,False,1.25,1.0,False,major,1,1,1,0,0,0.6667,,2.42,,72037
e006_q2_r5__l2,qwen_line_cell,e006,False,1.5,2.0,False,major,1,2,1,0,1,0.6667,,4.38,,→ 2037
e006_q2_r5__l2,crnn_overfit,e006,False,1.5,2.0,False,major,1,2,1,0,1,0.6667,0.6711,,,מרמ  בים
e006_q2_r6__l1,qwen_line,e006,False,0.7234,0.8889,False,major,9,7,6,2,0,0.3158,,3.95,,"לְכָרֵב מַסּוֹרָה 1,000 לְשִׁנְיָן 578.9"
e006_q2_r6__l1,qwen_line_cell,e006,False,0.766,1.1111,False,major,9,11,8,0,2,0.3158,,5.38,,"ליכוד = 31,000 1,000 1 0.325 mg 112721"
e006_q2_r6__l1,crnn_overfit,e006,False,0.8511,1.0,False,major,9,4,4,5,0,0.3158,0.6002,,,היםם  הבורמהנמ ך  ים
e006_q2_r7__l1,qwen_line,e006,False,1.0204,1.6667,False,major,9,15,9,0,6,0.2034,,5.06,,187.2 21010.1! מְסַפְרֵי יִשְׂרָאֵל 21010.1 אֲנָחְנוּ לֹא בְּדָבָר 1<5 48 17'0
e006_q2_r7__l1,qwen_line_cell,e006,False,0.9388,1.0,False,major,9,4,4,5,0,0.2034,,4.64,,187.2 21010)! (C)
e006_q2_r7__l1,crnn_overfit,e006,False,1.1429,2.6667,False,major,9,24,9,0,15,0.2034,0.6129,,,שוהלו לר ות רDהי תD נת רותנ ש ת רוי ל-5 שות שהי ש ש  לם ביר בו כל מת בכבי ור ים
e006_q2_r7__l2,qwen_line,e006,False,0.7255,1.0,False,major,12,10,10,2,0,0.2174,,4.74,,"1. 23 ""Mik (הַמְּרָא) מִשְׁנֵי הַכֹּל בְּחֶסֶד וְעַל כָּל הַמְּרָא"
e006_q2_r7__l2,qwen_line_cell,e006,False,0.8235,1.0,False,major,12,9,9,3,0,0.2174,,5.76,,יְהוֹרָה עַל-מִשְׁכָּנֶךָ הֲרֵעַ בְּרָאֵי אֱלֹהִים לְדַבְּרֵי יְהוָה וְשָׁמַעְתָּ
e006_q2_r7__l2,crnn_overfit,e006,False,0.8824,1.0,False,major,12,3,3,9,0,0.2174,0.6924,,,ה מוiהההמ ים
e006_q2_r8__l1,qwen_line,e006,False,0.7966,1.0,False,major,13,7,7,6,0,0.2222,,3.52,,אינץ' 700N בְּמַסְפֵּר אינץ' 5% 2 מ
e006_q2_r8__l1,qwen_line_cell,e006,False,0.9322,1.0,False,major,13,3,3,10,0,0.2222,,4.53,,2500 2 מ
e006_q2_r8__l1,crnn_overfit,e006,False,0.8305,1.0,False,major,13,4,4,9,0,0.2222,0.6954,,,נהלושול ראן ראבובהר הרנערים
e007_q1_r1__l1,qwen_line,e007,True,0.7624,0.9524,False,major,21,16,15,5,0,0.2133,,3.95,,"השנה הורכבה מ-100% מהנתחים של ה-2023, והנתחים של 2024 הם 80% מהנתחים של 2023."
e007_q1_r1__l1,qwen_line_cell,e007,True,0.7822,1.0,False,major,21,8,8,13,0,0.2133,,7.17,,רַבִּי מְשָׁמֵעַ בְּרַבִּי הֲלָקָא לְרַבִּי עֲדֹנִי אֶת הַכְּתֻבָּה
e007_q1_r1__l1,crnn_overfit,e007,True,0.7129,1.0,False,major,21,15,15,6,0,0.2133,0.7114,,,ל ו המ ים הר ר ים והלרלר הורא מואר בפפ ק ר  הר גרהגוהים
